id_empleado,com_claridad,com_escucha_activa,com_retroalimentacion,col_participacion,col_apoyo_companeros,col_cumplimiento_acuerdos,res_manejo_tension,res_busqueda_acuerdos,res_mediacion,ada_flexibilidad,ada_tolerancia_incertidumbre,ada_aprendizaje_continuo
1,5.5,6.3,6.8,4.1,4.7,5.4,4.9,2.4,4.9,7.8,9.4,8.3
2,8.6,5.8,8.0,6.8,5.5,8.2,4.3,4.3,2.0,6.6,1.7,3.1
3,7.5,6.9,6.0,5.7,7.5,6.4,5.4,4.7,4.2,4.8,2.0,1.1
4,4.2,6.9,3.7,5.2,6.4,6.5,6.2,6.7,6.6,9.1,5.8,8.6
5,7.7,9.1,8.5,8.9,7.0,8.9,6.4,8.8,8.4,7.6,7.2,8.4
6,8.9,8.8,7.3,8.5,7.9,7.3,7.2,8.7,8.7,7.2,8.1,9.2
7,7.3,9.4,10.0,8.2,7.4,9.3,7.9,7.5,8.2,7.8,8.0,7.5
8,8.5,7.6,6.2,6.2,5.8,7.0,4.1,1.6,3.3,4.3,4.2,2.2
9,6.7,7.3,4.3,5.1,4.9,6.6,8.6,4.9,6.9,7.5,6.6,9.1
10,6.0,7.0,6.2,5.9,4.9,10.0,2.3,6.0,2.1,4.5,5.2,5.7
11,7.0,8.1,6.7,8.3,7.9,7.3,8.5,9.5,6.8,6.8,8.1,7.3
12,8.0,6.4,4.7,8.2,5.4,8.5,6.3,5.6,2.7,3.0,5.1,5.8
13,6.4,7.6,7.6,7.0,6.7,6.5,7.4,5.1,5.5,5.4,1.2,4.4
14,9.6,7.5,7.3,8.3,8.8,9.0,7.6,8.5,8.8,8.8,8.2,9.5
15,7.1,8.7,7.0,9.1,8.1,8.8,8.5,7.7,8.3,7.9,6.7,8.5
16,8.0,7.9,8.5,8.2,8.9,8.5,8.6,8.1,9.0,7.4,7.5,6.6
17,5.0,5.5,6.6,6.7,4.2,5.3,6.3,7.8,4.7,7.6,8.5,8.7
18,5.1,7.2,5.9,5.7,4.6,6.4,5.9,4.2,6.3,8.2,8.1,9.5
19,4.4,5.7,6.3,5.1,7.3,4.2,6.6,7.8,5.6,9.1,7.1,8.2
20,9.1,8.3,7.2,8.9,9.9,9.3,5.5,7.9,8.7,9.1,7.9,8.3
21,3.5,3.7,2.7,3.2,3.2,5.5,6.9,7.4,5.7,8.1,6.5,8.7
22,8.4,9.0,9.5,7.6,9.4,8.0,8.1,6.9,7.4,7.3,9.1,6.3
23,8.6,8.9,7.7,7.5,9.4,8.5,7.8,8.7,8.4,8.5,7.7,9.9
24,5.7,8.3,4.4,5.4,3.4,7.5,8.7,4.5,6.9,7.8,9.1,8.2
25,6.0,5.1,6.8,7.5,6.1,5.4,5.1,3.5,4.9,8.0,7.5,9.2
26,5.3,6.5,6.7,9.0,8.2,7.2,3.6,4.8,3.9,6.2,3.2,4.2
27,7.1,8.5,8.5,9.0,7.7,8.3,10.0,9.1,6.6,9.0,7.1,9.6
28,6.8,7.6,8.0,5.9,3.7,6.9,4.9,4.3,2.6,8.6,8.9,9.1
29,5.5,5.4,3.8,2.9,6.4,6.8,5.3,3.4,6.1,7.4,7.3,8.6
30,7.8,8.6,8.9,8.1,8.9,10.0,7.9,8.1,8.5,8.5,8.5,7.9
31,7.2,6.3,4.9,4.2,5.8,5.8,7.1,5.4,6.1,9.5,7.6,9.4
32,8.6,8.5,8.3,8.0,9.0,9.3,8.2,8.7,5.7,8.0,5.9,7.1
33,9.6,7.9,9.5,8.4,9.1,8.9,6.7,9.1,7.4,9.5,7.3,9.1
34,6.6,6.4,6.7,5.7,5.0,8.1,3.5,4.4,1.0,6.2,2.2,2.8
35,8.8,7.5,6.7,3.9,7.7,6.1,3.3,7.3,5.9,6.7,4.1,6.1
36,8.4,5.0,7.4,7.2,7.8,7.5,4.1,4.8,2.5,4.9,2.2,4.5
37,4.7,5.7,4.3,3.8,4.7,5.8,6.6,5.0,7.4,9.0,8.9,9.3
38,9.4,7.6,7.2,8.7,8.7,8.8,8.4,6.7,8.8,9.6,7.8,8.7
39,5.9,7.1,3.2,7.9,2.9,6.1,3.7,5.1,4.6,8.9,7.8,7.6
40,6.9,3.5,1.9,4.0,5.7,6.3,7.4,5.0,4.3,8.0,8.7,8.2
41,7.6,7.7,10.0,6.5,9.2,8.7,8.3,9.1,8.2,7.9,8.9,9.1
42,6.0,6.0,3.1,4.8,4.9,6.3,7.8,6.1,4.7,8.7,8.0,8.9
43,9.5,9.9,7.8,9.4,9.7,9.9,8.4,7.1,7.9,7.1,7.1,9.5
44,4.6,6.1,5.6,8.7,6.1,7.8,5.7,4.8,3.3,4.3,1.3,4.9
45,7.4,7.7,8.3,7.5,9.2,9.4,8.5,8.8,5.8,9.3,7.2,7.8
46,2.1,7.9,6.0,5.8,3.6,5.5,7.8,7.6,2.9,6.5,7.4,8.2
47,4.6,3.6,6.1,4.6,5.0,4.9,6.7,6.7,6.1,9.9,8.1,8.9
48,6.0,2.6,3.9,5.1,4.8,7.1,5.9,6.6,5.1,9.5,7.7,7.2
49,7.1,6.1,4.5,8.6,5.3,7.1,9.0,5.6,5.1,8.1,8.7,10.0
50,8.6,7.8,8.3,7.3,8.4,9.8,8.9,8.5,8.6,8.8,7.3,9.0
51,8.3,5.0,5.7,6.6,6.4,6.2,5.0,6.4,5.6,4.5,3.9,6.0
52,5.0,7.1,8.1,6.9,7.4,6.6,2.4,2.5,3.6,6.1,5.8,2.1
53,4.6,6.5,6.6,7.6,6.0,5.2,2.4,4.0,3.5,5.8,4.5,6.0
54,6.4,5.5,7.0,6.4,4.7,6.4,4.6,3.3,4.7,2.7,3.9,7.4
55,5.5,3.8,5.8,5.6,7.4,7.2,6.2,6.0,4.0,9.0,7.4,7.9
56,6.5,7.2,7.5,5.8,8.0,6.3,3.3,6.3,4.3,4.2,3.1,5.4
57,6.6,9.0,8.2,8.7,7.5,9.2,8.1,7.7,8.4,8.4,7.0,8.6
58,8.4,8.2,6.7,8.2,9.3,8.7,9.6,6.0,8.5,7.6,7.4,7.4
59,7.3,10.0,8.4,9.0,8.2,9.0,8.7,7.8,5.7,9.9,8.7,9.0
60,5.9,4.1,3.8,4.7,5.4,4.6,4.5,6.8,4.8,9.4,7.8,9.4
61,5.5,3.5,4.0,5.7,5.4,6.1,5.9,6.3,4.7,7.8,6.7,8.4
62,7.7,7.6,8.6,8.5,8.5,6.7,7.2,8.6,7.9,7.1,9.7,9.5
63,5.9,6.1,7.6,7.7,5.6,6.6,3.7,4.1,4.7,4.0,4.5,2.0
64,3.5,5.8,4.8,5.1,4.0,4.0,5.5,3.7,7.7,8.9,6.6,7.8
65,8.4,8.1,8.3,7.1,7.9,9.6,7.5,8.7,7.3,8.5,7.5,8.7
66,6.3,6.0,7.4,6.8,3.8,6.9,4.4,4.3,5.2,9.6,8.1,8.8
67,7.6,7.0,8.2,7.8,8.6,9.1,7.9,10.0,9.1,9.0,9.6,8.0
68,7.1,7.9,9.4,5.5,5.7,8.3,3.4,5.4,4.4,5.8,2.3,5.4
69,8.0,8.2,8.6,8.0,9.3,8.1,5.1,7.7,9.2,8.6,8.9,9.0
70,5.6,7.5,3.7,7.9,8.1,8.5,7.1,3.6,4.4,2.7,6.1,5.5
71,6.4,6.6,7.0,3.7,5.9,7.7,5.7,4.4,2.4,4.2,3.1,4.1
72,7.6,8.8,8.4,10.0,8.9,8.6,7.6,8.0,6.3,9.3,7.6,9.1
73,8.0,8.9,9.3,9.3,9.1,9.6,8.0,9.2,6.1,8.3,6.9,8.2
74,5.2,6.7,6.9,6.6,7.0,5.7,2.6,4.8,4.9,5.2,3.7,7.2
75,8.7,7.0,5.8,6.2,6.6,6.0,6.6,3.4,5.7,4.1,3.9,3.2
76,6.5,7.8,4.4,6.6,7.3,6.2,6.9,7.3,6.6,3.2,5.0,7.2
77,5.7,6.4,5.7,6.9,7.0,6.3,4.4,4.6,5.2,4.3,5.6,4.3
78,8.7,9.0,7.1,9.0,7.6,8.1,9.0,8.9,9.1,8.6,7.2,7.5
79,4.8,5.4,3.9,5.9,6.2,7.5,6.2,4.6,5.0,7.9,6.0,9.8
80,8.3,9.7,8.6,8.6,9.5,8.6,6.7,8.5,6.5,8.1,7.9,8.7
81,7.2,5.4,8.2,6.1,5.7,7.2,3.6,5.0,5.2,3.3,4.4,5.5
82,6.1,7.8,5.4,5.0,5.1,5.3,6.2,2.9,6.3,9.5,8.2,9.7
83,4.3,5.4,3.0,4.9,6.0,3.8,5.4,8.3,5.9,8.2,7.7,9.0
84,8.0,6.9,8.4,9.4,8.5,9.0,7.8,9.4,8.2,9.6,8.0,8.1
85,4.6,5.7,6.6,6.0,6.5,3.7,5.9,4.9,6.2,9.9,9.5,9.5
86,1.8,4.6,3.9,1.4,8.3,5.9,5.9,4.0,7.5,8.4,8.4,8.8
87,4.8,7.2,5.8,7.1,5.6,5.4,4.3,5.0,5.8,3.2,3.4,5.3
88,6.9,4.7,4.8,5.5,3.1,8.4,4.6,5.6,6.5,6.6,7.5,7.3
89,8.3,5.7,5.0,6.3,6.8,7.7,3.2,5.0,5.2,2.6,3.7,4.9
90,4.7,3.0,5.8,4.7,6.0,6.1,4.3,5.8,6.5,7.3,9.6,8.4
91,9.0,7.8,7.9,9.4,8.5,9.7,9.0,8.7,7.3,9.5,7.7,9.9
92,6.8,3.3,6.5,7.4,8.1,6.0,1.3,6.7,5.1,4.7,4.0,5.2
93,9.9,4.3,4.8,5.4,5.0,7.3,5.8,5.4,2.0,5.0,3.3,4.6
94,6.6,6.5,4.1,5.7,6.0,6.2,7.8,4.0,7.2,6.5,9.1,9.1
